Title,Developer,Publisher,First released,JP,EU,NA
¡Qué pasa Neng! El videojuego,Mere Mortals,Phoenix Games,2006-12-11EU,,✔,
.hack//frägment,CyberConnect2,Bandai,2005-11-23JP,✔,,
.hack//G.U.vol.1//Rebirth,CyberConnect2,Bandai,2006-05-18JP,✔,,✔
.hack//G.U.vol.2//Reminisce,CyberConnect2,Namco Bandai Games,2006-09-28JP,✔,,✔
.hack//G.U.vol.3//Redemption,CyberConnect2,Namco Bandai Games,2007-01-18 JP,✔,,✔
.hack//Infection Part 1,CyberConnect2,Bandai,2002-06-20JP,✔,✔,✔
.hack//Mutation Part 2,CyberConnect2,Bandai,2002-09-19JP,✔,✔,✔
.hack//Outbreak Part 3,CyberConnect2,Bandai,2002-12-12JP,✔,✔,✔
.hack//Quarantine Part 4,CyberConnect2,Bandai,2003-04-10JP,✔,✔,✔
_Summer,Hooksoft,GN Software,2006-08-24JP,✔,,
007: NightFire,Eurocom,Electronic Arts,2002-11-18NA,"✔JP, KO",✔,✔
"007: Quantum of Solace
•007: Nagusame no HoushuuJP",Eurocom,Activision,2008-10-31EU,✔,✔,✔
10 Pin: Champions Alley,Liquid Games,OG International Ltd,2005-04-05PAL,,✔,
"10.000 Bullets
•Tsukiyo ni SarabaJP, KO",Blue Moon,"TaitoJP, CyberFrontKO, 505 Game StreetEU",2005-02-24JP,"✔JP, KO",✔,
120-en no Haru: 120 Yen Stories,Interchannel,Interchannel,2005-02-24JP,✔,,
12Riven: The Psi-Climinal of Integral,CyberFront,CyberFront,2008-03-13JP,✔,,
18 Wheeler American Pro Trucker,Acclaim Studios Cheltenham,"Acclaim Entertainment Sega",2001-11-14NA,✔,✔,✔
187 Ride or Die,Ubisoft,Ubisoft,2005-08-23NA,✔KO,✔,✔
"1945 I & II The Arcade Games
•Psikyo Shooting Collection Vol. 1: Strikers 1945 I+IIJP
•Strikers 1945 I & IIKO",Psikyo,Play It!,2004-07-16JP,"✔JP, KO",✔,
2002 FIFA World Cup,EA Canada,EA Sports,2002-04-22NA,✔,✔,✔
2003-Toshi Kaimaku – Ganbare Kyuukaiou,Magical Company,Atlus Co.,2003-05-15JP,✔,,
21 Card Games,Mere Mortals,Phoenix Games,2006-07-28PAL,,✔,
24: The Game,SCE Studio Cambridge,2K Games,2006-02-28NA,,✔,✔
25 to Life,Avalanche Software,Eidos Interactive,2006-01-17NA,,✔,✔
"2nd Super Robot Wars Alpha
•Dai-2-Ji Super Robot Taisen AlphaJP",Banpresto,Banpresto,2003-03-27JP,✔,,
3-Nen B-Gumi Kinpachi Sensei Densetsu no Kyoudan ni Tate!,Chunsoft,Chunsoft,2004-06-24JP,✔,,
3LDK – Shiawase ni Narouyo,PrincessSoft,PrincessSoft,2004-07-01JP,✔,,
"3rd Super Robot Wars Alpha: To the End of the Galaxy
•Dai-3-Ji Super Robot Taisen Alpha Shuuen no Ginga eJP",Banpresto,Banpresto,2005-07-28JP,✔,,
4x4 EVO,Terminal Reality,Gathering of Developers,2001-02-26NA,,✔,✔
4x4 EVO 2,Terminal Reality,BAM! Entertainment,2002-11-04PAL,,✔,
50 Cent: Bulletproof,Genuine Games,Vivendi Universal Games,2005-11-17NA,,✔,✔
"7 Blades
•Seven BladesJP",Konami,Konami,2000-12-21JP,✔,✔,
7 Sins,Monte Cristo Multimedia,Digital Jesters,2005-05-20PAL,,✔,
7 Wonders of the Ancient World,MumboJumbo,MumboJumbo,2007-11-20NA,,✔,✔
A-Ressha de Ikou 2001,Artdink,Artdink,2001-03-08JP,✔,
A-Ressha de Ikou 2001 Perfect Set,Artdink,Artdink,2002-01-01JP,✔,,
A.C.E.: Another Century's Episode,FromSoftware,Banpresto,2005-01-27JP,✔,,
A.C.E.: Another Century's Episode 2,FromSoftware,Banpresto,2006-03-30JP,✔,,
A.C.E.: Another Century's Episode 2 (Special Vocal Version),FromSoftware,Banpresto,2007-11-29JP,✔,,
A.C.E.: Another Century's Episode 3: The Final,FromSoftware,Banpresto,2007-09-06JP,✔,,
Aa Megami-sama,Marvelous,Marvelous,2007-02-22JP,✔,,
Abarenbō Princess,Alfa System,"Kadokawa Games, ESP",2001-11-29JP,✔,,
AC/DC Live: Rock Band Track Pack,Harmonix Music Systems,MTV Games,2008-11-02NA,,✔,✔
"Ace Combat 04: Shattered Skies
•Ace Combat: Distant ThunderPAL",Namco,Namco,2001-11-01NA,✔,✔,✔
"Ace Combat 5: The Unsung War
•Ace Combat: Squadron LeaderPAL",Namco,Namco,2004-10-25NA,✔,✔,✔
"Ace Combat Zero: The Belkan War
•Ace Combat: The Balkan WarPAL",Namco,Namco,2006-04-25NA,✔,✔,✔
Ace Lightning,Absolute Studios,Gamezlab,2003-03-14EU,,✔,
"Aces of War
•Reishiki Kanjou SentoukiJP",Marionette,"TaitoJP, 505 Game Street",2004-03-04JP,✔,✔,
Action Girlz Racing,Data Design Interactive,Metro3D,2005-09-15EU,,✔,
Action Man A..TO.M.: Alpha Teens on Machines,Brain in a Jar,Blast! Entertainment Ltd,2007-05-25PAL,,✔,
Activision Anthology,Contraband Entertainment,Activision,2002-11-19NA,,✔,✔
Adiboo and the Energy Thieves,Coktel Studio,Vivendi Universal Games,2004-09-24PAL,,✔,
ADK Damashii,SNK Playmore,SNK Playmore,2008-12-18JP,✔,,
Adventure of Tokyo Disney Sea,Konami,Konami,2001-12-20JP,✔,,
The Adventures of Cookie & Cream,FromSoftware,Agetec Inc.,2001-04-30NA,✔,✔,✔
"The Adventures of Darwin
•Simple 2000 Series Vol. 99: The GenshijinJP
•DarwinEU",Vingt-et-un Systems,D3 Publisher,2006-04-27JP,✔,✔,✔
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ,THQ,2004-09-13NA,,✔,✔
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,THQ,THQ,2003-09-16NA,,✔,✔
Æon Flux,Terminal Reality,Majesco Entertainment,2005-11-15NA,,✔,✔
"Aero Elite: Combat Academy
•Aero Dancing 4: New GenerationJP",Sega-AM2,Sega,2003-03-10NA,✔,,✔
Aerobics Revolution,Konami,Konami,2003-03-13JP,✔,,
AFL Live 2003,IR Gurus,Acclaim Entertainment,2002-09-05AU,,✔AU,
AFL Live 2004,IR Gurus,Acclaim Entertainment,2003-11-21AU,,✔AU,
AFL Live Premiership Edition,IR Gurus,Acclaim Entertainment,2004-04-29AU,,✔AU,
